what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555262891
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1274555262902
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555268134
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555287520
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555290826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555302619
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555303758
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555315824
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555318830
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555321978
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1274555322927
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555326013
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555349937
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1274555351421
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274555351493
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1274555351783
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1274555352045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555360156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555369837
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1274555378345
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1274555380992
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1274555395360
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1274555401313
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1274555401344
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1274555401411
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1274555401484
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1274555402801
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1274555415470
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555448805
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555516897
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555521135
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1274555523108
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1274555523707
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1274555523707
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1274555523707
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1274555523707
